Line_Item_Quantity,Pack_Price,Unit_Price,Brand,Dosage_Form,Country,Dosage,Item_Description,Weight_Kilograms,PO_SO,Total_Cost
19,29.0,0.97,Reveal,Test kit,Côte d'Ivoire,300mg,"HIV, Reveal G3 Rapid HIV-1 Antibody Test, 30 Tests",13,SCMS-4,1421.875
1000,6.2,0.03,Generic,Oral suspension,Vietnam,10mg/ml,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",358,SCMS-13,10812.035
500,80.0,0.8,Determine,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",171,SCMS-20,41744.315
31920,3.99,0.07,Generic,Tablet,Vietnam,150mg,"Lamivudine 150mg, tablets, 60 Tabs",1855,SCMS-78,143458.39500000002
38000,3.2,0.05,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",7590,SCMS-81,167140.615
416,5.35,0.02,Generic,Oral solution,Nigeria,10mg/ml,"Zidovudine 10mg/ml, oral solution, Bottle, 240 ml",504,SCMS-87,8236.555
16667,3.65,0.06,Generic,Tablet,Tanzania,200mg,"Nevirapine 200mg, tablets, 60 Tabs",1478,SCMS-140,67137.49500000001
2500,40.0,2.0,Uni-Gold,Test kit,Zambia,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",853,SCMS-226,113660.02500000001
10000,9.98,0.17,Generic,Tablet - FDC,Rwanda,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",7416,SCMS-268,164069.95500000002
750,80.0,0.8,Determine,Test kit,Haiti,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",256,SCMS-274,61850.855
2000,16.5,0.55,First Response,Test kit,Rwanda,300mg,"HIV 1/2/O, First Response HIV 1-2.0, v.3.0 Cards Kit, 30 Tests",710,SCMS-488,36211.235
712,12.59,0.06,Videx,Powder for oral solution,Tanzania,2g,"Didanosine 2g [Videx], powder for oral solution 10mg/ml, reconstitute to 200 ml",162,SCMS-555,9967.575
1000,80.0,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",341,SCMS-592,82810.47
7500,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",2278,SCMS-570,218484.245
1000,1.92,0.01,Generic,Oral suspension,Vietnam,10mg/ml,"Nevirapine 10mg/ml, oral suspension, Bottle, 240 ml",941,SCMS-753,6116.5599999999995
500,82.19,0.68,Aluvia,Tablet,Vietnam,200/50mg,"Lopinavir/Ritonavir 200/50mg [Aluvia], tablets, 120 Tabs",117,SCMS-759,42928.13
750,71.99,0.72,Determine,Test kit,Haiti,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",171,SCMS-10080,57597.27
25,350.0,3.5,OraQuick,Test kit,Haiti,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",60,SCMS-10130,11861.85
10000,20.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",3335,SCMS-10270,228189.74
10000,20.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",3335,SCMS-10290,228781.1
10000,20.0,0.8,Bioline,Test kit,Tanzania,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",3335,SCMS-10300,228679.8
64000,1.55,0.03,Generic,Capsule,Ethiopia,30mg,"Stavudine 30mg, capsules, 60 Caps",4228,SCMS-11070,111596.33
10000,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",3263,SCMS-11750,291317.78
1000,17.0,0.57,Viread,Tablet,Vietnam,300mg,"Tenofovir Disoproxil Fumarate 300mg [Viread], tablets, 30 Tabs",76,SCMS-14190,19309.77
400,8.38,0.14,Generic,Tablet,Vietnam,300mg,"Zidovudine 300mg, tablets, 60 Tabs",23,SCMS-14200,5506.41
1500,0.01,0.0,Generic,Test kit - Ancillary,Rwanda,300mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",99,SCMS-14630,15.77
476,76.0,1.9,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",509,SCMS-18290,41680.39
659,20.0,0.8,Bioline,Test kit,Côte d'Ivoire,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",206,SCMS-18310,15861.95
213,0.01,0.0,Generic,Test kit - Ancillary,Guyana,300mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",14,SCMS-18500,362.13
1634,71.99,0.72,Determine,Test kit,Zimbabwe,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",373,SCMS-18870,121932.33000000002
1425,27.0,1.35,Stat-Pak,Test kit,Nigeria,300mg,"HIV 1/2, Stat-Pak HIV, Kit, 20 Tests",483,SCMS-18940,44005.439999999995
142,71.99,0.72,Determine,Test kit,Namibia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",33,SCMS-19130,11954.11
8400,11.48,0.38,Generic,Tablet,Vietnam,600mg,"Efavirenz 600mg, tablets, 30 Tabs",654,SCMS-19490,100637.62999999999
400,7.0,0.12,Videx,Chewable/dispersible tablet,Vietnam,25mg,"Didanosine 25mg [Videx], chewable tablets, 60 Tabs",81,SCMS-20310,5015.530000000001
5498,79.99,0.8,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",1251,SCMS-21540,456578.89999999997
1344,13.66,0.46,Generic,Tablet,Vietnam,300mg,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",1537,SCMS-23450,31896.33
2597,23.67,0.79,Videx EC,Delayed-release capsules - blister,Tanzania,400mg,"Didanosine EC 400mg [Videx EC], delayed-release capsules, Blister 3 x 10 Caps",117,SCMS-23610,62214.439999999995
28,350.0,3.5,OraQuick,Test kit,Haiti,300mg,"HIV 1/2, OraQuick Advance HIV Rapid Antibody Kit, 100 Tests",109,SCMS-23840,10597.81
84,139.0,1.39,Capillus,Test kit,Haiti,300mg,"HIV 1/2, Capillus HIV Kit, 100 Tests",54,SCMS-24020,12570.449999999999
38640,2.4,0.04,Generic,Tablet,Vietnam,150mg,"Lamivudine 150mg, tablets, 60 Tabs",2719,SCMS-26180,111499.1
34,45.52,0.08,Coartem,Tablet - FDC + blister,Nigeria,20/120mg,"Artemether/Lumefantrine 20/120mg [Coartem], scored tablets, Blister 30 x 18 Tabs",115,SCMS-26560,3306.0299999999997
42000,1.45,0.02,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",2600,SCMS-26200,71176.6
16800,10.19,0.34,Generic,Tablet,Vietnam,600mg,"Efavirenz 600mg, tablets, 30 Tabs",1224,SCMS-27360,176214.42
98,37.5,1.5,Paramax,Test kit,Guyana,300mg,"Malaria Paramax-3 Kit, 25 Tests",34,SCMS-27670,3860.88
4500,71.99,0.72,Determine,Test kit,Zambia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",1053,SCMS-27790,335652.0
500,76.0,1.9,Genie,Test kit,Côte d'Ivoire,300mg,"#108853** HIV, Genie II HIV-1/HIV-2 Kit, 40 Tests",562,SCMS-29140,49358.93
25000,0.39,0.03,Generic,Tablet - FDC + co-blister,Côte d'Ivoire,50+153mg,"Artesunate+Amodiaquine 50+153mg, tablets, co-blister 6+6 Tabs",1708,SCMS-29340,22600.02
150,71.99,0.72,Determine,Test kit,Namibia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",46,SCMS-31180,13517.71
15,30.0,15.0,Uni-Gold,Test kit - Ancillary,Botswana,300mg,"#109436**HIV 1, Uni-Gold Recombigen HIV Control, Vial 2 x 0.5 ml",1,SCMS-31370,1028.8899999999999
319,20.0,0.8,Bioline,Test kit,Zambia,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",100,SCMS-31380,7514.74
50000,50.4,1.68,Atripla,Tablet - FDC,Tanzania,600/200/300mg,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg [Atripla], tablets, 30 Tabs",4093,SCMS-34680,2534278.2
140,19.51,0.2,Generic,Injection,Côte d'Ivoire,600mg/2ml,"Quinine 600mg/2ml (as dihydrochloride), injection, 2ml x 100 Ampules",5209,SCMS-35790,28141.97
5700,32.0,1.6,Uni-Gold,Test kit,Mozambique,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",1906,SCMS-36660,206672.3
