Line_Item_Quantity,Pack_Price,Unit_Price,Brand,Dosage_Form,Country,Dosage,Item_Description,Weight_Kilograms,PO_SO,Total_Cost
685,8.76,0.15,Generic,Tablet - FDC,Uganda,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",67,SO-26161,7135.2300000000005
16500,3.6,0.06,Generic,Chewable/dispersible tablet - FDC,Côte d'Ivoire,30/50/60mg,"Lamivudine/Nevirapine/Zidovudine 30/50/60mg, dispersible tablets, 60 Tabs",904,SO-49030,64473.939999999995
53,11.23,0.19,Generic,Tablet,Guyana,300mg,"Abacavir 300mg, tablets, 60 Tabs",516,SO-48520,8258.96
7946,2.51,0.04,Generic,Tablet,Zambia,200mg,"Nevirapine 200mg, tablets, 60 Tabs",1168,SO-38970,23389.69
12,60.82,0.2,Kaletra,Oral solution,Guyana,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",39,SCMS-235780,1521.3000000000002
99999,2.44,0.04,Generic,Tablet,Nigeria,200mg,"Nevirapine 200mg, tablets, 60 Tabs",13437,SO-41681,265686.76
561,20.0,0.8,Bioline,Test kit,Zambia,300mg,"HIV 1/2, Bioline 3.0 Kit, Lancets, Capillary pipets, Alcohol swabs included, 25 Tests",191,SO-233,12510.654999999999
20440,20.48,0.17,Generic,Tablet,Côte d'Ivoire,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",5450,SO-45620,442830.60000000003
88,21.0,0.18,Generic,Tablet,Burundi,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",95,SO-46020,2622.19
118537,4.51,0.15,Generic,Tablet,South Africa,600mg,"Efavirenz 600mg, tablets, 30 Tabs",10373,SCMS-75750,536384.97
2334,32.0,1.6,Uni-Gold,Test kit,Guyana,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",807,SCMS-63870,81407.11
16947,2.42,0.04,Generic,Tablet,Zambia,200mg,"Nevirapine 200mg, tablets, 60 Tabs",1956,SO-41282,49778.24
50,41.1,0.14,Kaletra,Oral solution,Côte d'Ivoire,80/20mg/ml,"Lopinavir/Ritonavir 80/20mg/ml [Kaletra], oral solution, cool, Bottle 5 x 60 ml",99,SCMS-42240,3999.0200000000004
46613,13.0,0.43,Generic,Tablet - FDC,Rwanda,600/300/300mg,"Efavirenz/Lamivudine/Tenofovir Disoproxil Fumarate 600/300/300mg, tablets, 30 Tabs",5245,SCMS-137530,618004.8099999999
152,0.01,0.0,Generic,Test kit - Ancillary,Guyana,300mg,"HIV, Lancet, Safety, for HIV Test kits, 100 Pcs",45,SO-1004,800.11
10020,2.33,0.04,Generic,Tablet,Nigeria,150mg,"Lamivudine 150mg, tablets, 60 Tabs",645,SO-42807,39911.83
150,71.99,0.72,Determine,Test kit,Namibia,300mg,"HIV 1/2, Determine HIV Kit, without Lancets, 100 Tests",46,SCMS-31180,13517.71
16515,29.68,0.25,Generic,Tablet,Rwanda,200/50mg,"Lopinavir/Ritonavir 200/50mg, tablets, 120 Tabs",3991,SO-42140,504232.93000000005
4200,5.13,0.17,Generic,Tablet,Uganda,600mg,"Efavirenz 600mg, tablets, 30 Tabs",238,SO-34950,23613.98
839,32.0,1.6,Uni-Gold,Test kit,Tanzania,300mg,"HIV 1/2, Uni-Gold HIV Kit, 20 Tests",277,SCMS-34430,30047.25
3528,7.75,0.26,Generic,Tablet,Vietnam,300mg,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",395,SCMS-64580,30939.52
4529,2.12,0.01,Generic,Oral suspension,South Africa,10mg/ml,"Nevirapine 10mg/ml, oral suspension w/syringe, Bottle, 240 ml",1679,SCMS-93490,13142.25
4641,4.04,0.13,Generic,Tablet,Côte d'Ivoire,300mg,"Tenofovir Disoproxil Fumarate 300mg, tablets, 30 Tabs",285,SO-46330,20107.98
216755,12.24,0.41,Generic,Tablet - FDC,Tanzania,600/200/300mg,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",28678,SCMS-198800,2774904.32
645,38.36,0.11,Norvir,Capsule,Tanzania,100mg,"Ritonavir 100mg [Norvir], capsules, cool, 4 x 84 Caps",1210,SCMS-47741,31805.730000000003
15080,7.0,0.12,Generic,Tablet - FDC,Dominican Republic,150/300mg,"Lamivudine/Zidovudine 150/300mg, tablets, 60 Tabs",1212,SO-46140,120871.58
2072,80.0,0.8,Determine,Test kit,Tanzania,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",989,SCMS-135870,183504.91999999998
21000,1.45,0.02,Generic,Capsule,Vietnam,30mg,"Stavudine 30mg, capsules, 60 Caps",1516,SCMS-97840,42415.75
3154,89.0,0.89,Determine,Test kit,Nigeria,300mg,"HIV 1/2, Determine Complete HIV Kit, 100 Tests",1279,SCMS-240830,300107.48
114,4.5,0.04,Generic,Capsule,Guyana,100mg,"Zidovudine 100mg, capsules, 100 Caps",5,SCMS-201380,1186.12
32112,10.43,0.35,Generic,Tablet - FDC,Botswana,600/200/300mg,"Efavirenz/Emtricitabine/Tenofovir Disoproxil Fumarate 600/200/300mg, tablets, 30 Tabs",3989,SCMS-275710,355067.58999999997
416,7.9,0.13,Generic,Tablet,Guyana,300mg,"Zidovudine 300mg, tablets, 60 Tabs",49,SO-18470,4758.55
576,11.75,0.39,Generic,Tablet - FDC,Côte d'Ivoire,200/300mg,"Emtricitabine/Tenofovir Disoproxil Fumarate 200/300mg, tablets, 30 Tabs",47,SO-33231,8016.18
25,8.0,0.08,Determine,Test kit - Ancillary,Sudan,300mg,"Capillary Tubes, for Determine, EDTA, 50uL,100 Pcs",2,SCMS-100520,1402.05
3000,6.85,0.11,Norvir,Tablet,Côte d'Ivoire,100mg,"Ritonavir 100mg [Norvir], film coated tablets, 60 Tabs",385,SCMS-216970,24336.41
