iter	RMSE
0	347430.8461
1	323114.9423
2	300803.2142
3	280754.2027
4	262919.2247
5	247542.6711
6	232303.1943
7	218047.9963
8	205170.1439
9	193723.1161
10	183918.5124
11	174187.8651
12	164205.575
13	155929.4445
14	148557.8617
15	141809.7097
16	134152.4593
17	128393.9376
18	122303.9075
19	117207.4609
20	112633.3769
21	108131.3715
22	104223.3484
23	101562.0682
24	98161.4412
25	95730.17508
26	93373.8533
27	91200.21311
28	87930.80042
29	85407.91438
30	84145.57052
31	82703.85615
32	80647.49021
33	78295.65623
34	77611.19727
35	75497.58018
36	74006.89315
37	73297.96599
38	71575.48114
39	70986.09153
40	69437.65066
41	68952.29107
42	67464.50238
43	65909.38803
44	65471.16022
45	65073.62391
46	63826.994
47	63060.40412
48	62547.7526
49	61307.95533
50	60951.9943
51	59849.85498
52	58827.28021
53	58528.98664
54	58179.42802
55	57680.36919
56	57366.19768
57	56979.87417
58	56732.67841
59	56105.28559
60	55078.15513
61	54286.27703
62	53655.032
63	53373.04279
64	53047.98321
65	52840.40809
66	52665.67883
67	52414.93649
68	52198.87822
69	51444.81272
70	50869.97022
71	50646.13874
72	49747.0156
73	49572.9885
74	48773.46451
75	48258.54495
76	48062.71729
77	47465.28622
78	46933.71387
79	46524.72887
80	46015.59302
81	45775.46004
82	45536.3279
83	45327.78352
84	45117.01193
85	44553.13966
86	44351.96638
87	44158.19018
88	43970.26573
89	43828.7103
90	43670.59912
91	43006.78519
92	42893.11181
93	42714.51954
94	42106.70888
95	41989.15689
96	41427.16965
97	41297.28332
98	40892.19313
99	40672.8484
