iter	Passed	Remaining
0	4	462
1	8	400
2	12	388
3	16	394
4	19	376
5	23	372
6	26	355
7	30	349
8	34	348
9	37	335
10	40	329
11	44	328
12	47	318
13	51	317
14	55	312
15	58	305
16	61	302
17	65	296
18	68	291
19	72	288
20	75	282
21	78	279
22	81	273
23	85	269
24	89	267
25	91	261
26	95	258
27	98	253
28	102	251
29	106	249
30	109	244
31	114	242
32	118	240
33	122	237
34	126	234
35	129	230
36	133	227
37	138	225
38	140	220
39	144	216
40	148	213
41	151	209
42	155	206
43	158	201
44	162	198
45	166	195
46	169	190
47	172	187
48	176	183
49	179	179
50	183	176
51	187	172
52	190	168
53	194	165
54	197	161
55	201	158
56	204	154
57	207	150
58	211	146
59	214	142
60	218	139
61	221	135
62	225	132
63	228	128
64	231	124
65	235	121
66	239	117
67	243	114
68	246	110
69	249	107
70	254	103
71	257	100
72	260	96
73	264	92
74	268	89
75	271	85
76	274	82
77	277	78
78	281	74
79	285	71
80	288	67
81	292	64
82	295	60
83	299	56
84	302	53
85	305	49
86	309	46
87	312	42
88	315	38
89	319	35
90	322	31
91	326	28
92	330	24
93	333	21
94	337	17
95	341	14
96	344	10
97	348	7
98	352	3
99	354	0
